Time,Energy 1,Energy 2,Total,Scatterer,Absorber
51546333,417.866939,259.149700,677.016639,3,6
51818990,250.300201,424.708457,675.008658,4,5
52078661,234.582469,484.432017,719.014486,2,6
52094934,283.098149,391.732690,674.830839,3,5
52168579,358.015304,333.467487,691.482792,1,8
52287261,258.804509,482.979285,741.783794,3,6
52563032,255.302187,407.304115,662.606302,4,6
52634855,245.781327,407.673777,653.455103,1,6
52652443,242.488489,440.941985,683.430474,2,6
52764192,222.818486,403.077824,625.896311,2,6
52835277,283.307132,373.443702,656.750834,4,7
53019664,298.737876,387.091502,685.829378,3,6
53116692,217.713651,475.759802,693.473453,1,5
53271703,227.788295,398.186556,625.974852,2,8
53340681,289.861345,385.847495,675.708840,3,5
53418589,230.823700,501.941784,732.765484,2,6
53438816,232.886972,450.724341,683.611313,4,5
53686564,341.260758,287.430058,628.690816,4,5
53779981,281.148539,402.840726,683.989265,3,5
53947774,281.476351,391.816073,673.292425,1,7
54095925,251.512698,404.486882,655.999580,2,8
54095930,244.870913,409.984770,654.855683,3,7
54459767,226.144350,408.475654,634.620004,2,7
54468799,268.438244,343.636076,612.074320,2,8
54553704,516.454008,153.097684,669.551692,1,8
54657437,264.138999,390.444432,654.583431,3,5
54758286,212.278148,443.350678,655.628827,1,5
54831285,264.117726,371.493128,635.610854,4,6
54951562,235.545827,439.758912,675.304739,2,7
55947074,262.219938,403.029831,665.249769,4,6
55986764,244.296903,407.162987,651.459890,3,5
56095770,312.893158,353.249635,666.142794,2,5
56227721,271.866204,393.034778,664.900982,2,5
56779522,283.196037,371.215137,654.411174,4,6
57019306,236.007396,408.899821,644.907218,1,6
57107161,246.632567,404.388610,651.021177,3,7
57237655,165.081351,480.826971,645.908322,3,7
57257937,230.687942,423.213617,653.901558,2,7
57280770,221.696574,417.778500,639.475074,4,8
57452838,271.848729,459.928636,731.777365,4,6
57563144,263.087349,398.518806,661.606156,4,5
57790414,267.684593,406.869586,674.554179,4,7
57903455,237.674596,397.697336,635.371932,1,5
57960205,221.236357,424.579937,645.816294,4,5
58007195,238.246331,346.943515,585.189846,4,6
58124416,167.655689,517.882775,685.538464,1,5
58167791,200.206630,417.702528,617.909158,3,7
58430242,148.221202,584.823139,733.044341,2,6
58595045,367.288980,288.509429,655.798409,1,7
58778569,221.217100,398.919252,620.136352,3,7
59041523,281.131382,394.428177,675.559560,1,8
59243667,267.007246,387.760379,654.767624,3,6
59503293,241.533603,406.440204,647.973807,3,7
59515218,278.460843,404.973433,683.434276,4,7
59635906,248.715122,450.673333,699.388456,3,7
59690805,474.998882,166.066316,641.065199,2,8
59699250,275.639815,413.981809,689.621624,3,5
59762383,276.419258,323.292673,599.711931,3,6
59930265,281.284742,390.795116,672.079858,1,7
59966431,254.090643,393.347063,647.437706,2,8
60101588,183.206301,441.705279,624.911580,2,7
60132997,268.861024,397.280524,666.141548,1,8
60278140,209.353187,409.510364,618.863550,1,6
